countrycode,countryname,region,region_iso2,regionname,adminregion,adminregion_iso2,adminregionname,incomelevel,incomelevel_iso2,incomelevelname,lendingtype,lendingtype_iso2,lendingtypename,cmu
SGP,Singapore,EAS,Z4,East Asia and Pacific,,,,HIC,XD,High income,LNX,XX,Not classified,EAPSG
SLB,Solomon Islands,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,EACNF
SLE,Sierra Leone,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCW1
SLV,El Salvador,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,LCC2C
SMR,San Marino,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
SOM,Somalia,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCE2
SRB,Serbia,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,ECCWB
SSD,South Sudan,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCE3
STP,Sao Tome and Principe,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,AFCC1
SUR,Suriname,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,LCC3C
SVK,Slovak Republic,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,ECCEU
SVN,Slovenia,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,ECCEU
SWE,Sweden,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
